year	Team	Position	Highest_Scorer	FantasyPoints
2012	ARI	WR	Andre Roberts	105.9
2012	ATL	RB	Michael Turner	156.8
2012	ATL	TE	Tony Gonzalez	141
2012	ATL	WR	Julio Jones	179.8
2012	BAL	RB	Ray Rice	222.1
2012	BAL	TE	Dennis Pitta	108.9
2012	BAL	WR	Torrey Smith	133.5
2012	BUF	RB	C.J. Spiller	212.3
2012	BUF	TE	Scott Chandler	91.1
2012	BUF	WR	Stevie Johnson	138.6
2012	CAR	RB	DeAngelo Williams	130.4
2012	CAR	TE	Greg Olsen	114.3
2012	CAR	WR	Steve Smith	139.4
2012	CHI	RB	Matt Forte	177.4
2012	CHI	TE	Kellen Davis	32.9
2012	CHI	WR	Brandon Marshall	216.8
2012	CIN	RB	BenJarvus Green-Ellis	151.8
2012	CIN	TE	Jermaine Gresham	101.7
2012	CIN	WR	A.J. Green	199
2012	CLE	RB	Trent Richardson	203.7
2012	CLE	TE	Benjamin Watson	68.1
2012	CLE	WR	Josh Gordon	108.5
2012	DAL	RB	DeMarco Murray	111.4
2012	DAL	TE	Jason Whiten	121.9
2012	DAL	WR	Dez Bryant	208.2
2012	DEN	RB	Willis McGahee	111.2
2012	DEN	TE	Jacob Tamme	67.5
2012	DEN	WR	Demaryius Thomas	197.4
2012	DET	RB	Mikel Leshoure	149.2
2012	DET	TE	Brandon Pettigrew	70.7
2012	DET	WR	Calvin Johnson	220.4
2012	GNB	RB	Alex Green	58.9
2012	GNB	TE	Jermichael Finley	76.7
2012	GNB	WR	James Jones	162.4
2012	HOU	RB	Arian Foster	262.1
2012	HOU	TE	Owen Daniels	107.6
2012	HOU	WR	Andre Johnson	183.8
2012	IND	RB	Vick Ballard	114.6
2012	IND	TE	Dwayne Allen	70.6
2012	IND	WR	Reggie Wayne	163.5
2012	JAC	RB	Maurice Jones-Drew	62
2012	JAC	TE	Marcedes Lewis	78
2012	JAC	WR	Cecil Shorts	137.9
2012	KAN	RB	Jamaal Charles	204.5
2012	KAN	TE	Tony Moeaki	51.3
2012	KAN	WR	Dwayne Bowe	96.1
2012	MIA	RB	Reggie Bush	171.8
2012	MIA	TE	Anthony Fasano	63.2
2012	MIA	WR	Brian Hartline	112.3
2012	MIN	RB	Adrian Peterson	305.4
2012	MIN	TE	Kyle Rudolph	103.3
2012	MIN	WR	Percy Harvin	83.7
2012	NOR	RB	Darren Sproles	139.1
2012	NOR	TE	Jimmy Graham	152.2
2012	NOR	WR	Marques Colston	171.4
2012	NWE	RB	Stevan Ridley	199.4
2012	NWE	TE	Rob Gronkowski	143
2012	NWE	WR	Wes Welker	169.4
2012	NYG	RB	Ahmad Bradshaw	156
2012	NYG	TE	Martellus Bennett	92.6
2012	NYG	WR	Victor Cruz	169.2
2012	NYJ	RB	Shonn Greene	167.4
2012	NYJ	TE	Jeff Cumberland	53.9
2012	NYJ	WR	Jeremy Kerley	92.7
2012	OAK	RB	Darren McFadden	110.5
2012	OAK	TE	Brandon Myers	104.6
2012	OAK	WR	Denarius Moore	116.1
2012	PHI	RB	LeSean McCoy	145.3
2012	PHI	TE	Brent Celek	72.4
2012	PHI	WR	Jeremy Maclin	125.7
2012	PIT	RB	Jonathan Dwyer	80.9
2012	PIT	TE	Heath Miller	129.6
2012	PIT	WR	Mike Wallace	129.6
2012	SDG	RB	Ryan Mathews	97.9
2012	SDG	TE	Antonio Gates	95.8
2012	SDG	WR	Malcom Floyd	111.4
2012	SEA	RB	Marshawn Lynch	246.6
2012	SEA	TE	Zach Miller	55.6
2012	SEA	WR	Sidney Rice	116.8
2012	SFO	RB	Frank Gore	196.8
2012	SFO	TE	Vernon Davis	84.8
2012	SFO	WR	Michael Crabtree	164.5
2012	STL	RB	Steven Jackson	160.3
2012	STL	TE	Lance Kendricks	75.9
2012	STL	WR	Brandon Gibson	99.1
2012	TAM	RB	Doug Martin	262.6
2012	TAM	TE	Dallas Clark	67.5
2012	TAM	WR	Vincent Jackson	186.4
2012	TEN	RB	Chris Johnson	175.5
2012	TEN	TE	Jared Cook	74.3
2012	TEN	WR	Nate Washington	98.6
2012	WAS	RB	Alfred Morris	241
2012	WAS	TE	Logan Paulsen	36.8
2012	WAS	WR	Santana Moss	103.3
